	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length			
PC_12	7750.83	7797.15	7830.49	8660.3	8736.51	8087.82	7225.3	7485.11	7211.11	7293.97	8622.72	7255.4	7293.78	7295.28	7361.77	7191.89	8082.18	8857.87	7549.19	7305.92	7226.71	7820.97	7838.1	7375.21	8541.3	8165.78	7237.6	7260.72			
PC_11	7612.77	7434.14	7960.2	9261.31	7993.4	7648.35	7485.2	7304.87	7465.49	7375.88	8352.02	7237.48	7200.28	7293.43	7347.85	7198.12	8944.05	7820.03	7409.39	7273.66	7276.37	7879.33	7948.34	7480.83	9096.73	8243.11	7604.22	7248.84			
PC_15	9374.43	9370.46	9372.05	9370.13	9375.45	9373.4	9377.91	9369.11	9372.06	9377.07	9369.59	9368.63	9374.48	9376.38	9368.47	9372.7	9377.19	9370.72	9374.09	9370.25	9376.99	9376.69	9371.54	9377.3	9369.17	9375.28	9375.96	9376.2			
PG_11	9377.53	9373.73	9368.58	9375.8	9371.86	9372.72	9373.91	9376.5	9373.57	9368.4	9370.02	9372.08	9371.95	9368.23	9370.44	9374.25	9376.1	9368.99	9372.33	9376.87	9369.55	9369.78	9373.21	9377.73	9369.46	9368.8	9368.4	9371.08			
PD_4	9372.91	9376.32	9372.43	9377.47	9368.04	9376.2	9372.8	9377.64	9375.87	9376.63	9373.75	9372.09	9372.74	9377.51	9373.6	9368.34	9377.01	9374.67	9369.94	9377.97	9371.55	9369.16	9377.91	9375.42	9371.55	9375.83	9377.94	9373.73			
PD_5	9373.21	9368.4	9374.84	9373.99	9373.23	9369.48	9368.35	9371.43	9368.7	9373.93	9373.97	9372.19	9376.34	9370.37	9376.08	9377.86	9370.94	9377.17	9373.08	9376.76	9371.2	9370.33	9372.23	9373.4	9370.48	9370.21	9372.86	9375.76			
PH_5	9372.49	9374.87	9372.31	9371.98	9368.53	9368.96	9374.83	9374.14	9376.64	9371.23	9376.87	9369.8	9370.22	9374.77	9373.84	9377.58	9370.56	9377.52	9375.87	9371.21	9373.46	9368.8	9369.78	9377.75	9377.07	9368.04	9372.04	9370.83			
NMI	9235.41	7194.55	7220.97	8390.24	8020.33	9296.3	7630.01	7510.85	8881.02	7348.51	8404.77	7217.14	7298.37	7615.75	7252.52	8560.75	9137.81	8370.52	9046.78	8858.15	7502.75	7229.73	7204.82	9013.74	8739.7	8984.57	8889.69	7505.32			
PD_2	9368.54	9376.76	9372.8	9374.71	9369.58	9369	9375.99	9371.03	9368.63	9374.82	9369.38	9368.4	9370.86	9376.82	9375.23	9372.17	9370.47	9368.87	9376.53	9370.69	9370.76	9371.69	9368.86	9377.61	9371.33	9372.8	9374.33	9368.42			
PI_2	9370.12	9369.22	9373.5	9372.52	9377.85	9372.52	9375.51	9372.93	9372.94	9368.03	9376.98	9373.87	9372.31	9370.99	9373.06	9377.99	9371.81	9373.2	9370.2	9369.42	9369.09	9370.62	9373.33	9372.89	9377.95	9372.58	9372.21	9368.66			
PD_0	9377.86	9376.41	9375.17	9372.25	9369.73	9376.91	9369.38	9377.44	9374.85	9376.87	9377.06	9373.99	9375.83	9377.95	9375.8	9371.78	9377.8	9375.58	9371.7	9373.1	9376.84	9373.26	9368.33	9371.94	9374.84	9375.74	9371.85	9371.12			
PD_3	9368.79	9375.99	9374.04	9370.05	9369.86	9369.04	9371.76	9374.85	9370.58	9369.31	9368.62	9376.45	9370.8	9375.85	9377.3	9368.38	9370.67	9376.86	9368.21	9369.83	9370.65	9369.31	9369.76	9372.79	9372.18	9369.79	9374.43	9368.74			
